                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3734,                  3.495,                 1.3697,                0.30007,                0.35758,                0.23603,                0.17519,                 1.1368,                 2.6868,                 1.2373,             0.00010349,             0.00010349,             0.00010349
                      2,                  1.105,                 2.2157,                 1.1881,                0.39664,                0.41923,                0.36392,                0.26958,                 1.0452,                 2.1392,                 1.1724,             0.00020576,             0.00020576,             0.00020576
                      3,                 1.0738,                 1.9653,                 1.1709,                0.40694,                0.44927,                0.38981,                0.28691,                 1.0274,                 1.9474,                 1.1541,             0.00030597,             0.00030597,             0.00030597
                      4,                 1.0389,                  1.854,                 1.1729,                0.48706,                0.43506,                0.40819,                0.30843,                 1.0088,                 1.9336,                  1.144,              0.0003037,              0.0003037,              0.0003037
                      5,                 1.0116,                 1.7411,                 1.1541,                 0.4058,                0.49737,                0.42363,                0.31251,                 1.0446,                  1.948,                 1.1814,              0.0003037,              0.0003037,              0.0003037
                      6,                0.98962,                 1.6084,                 1.1416,                0.46763,                0.48137,                0.44982,                0.34401,                 0.9639,                 1.8177,                 1.1448,             0.00030061,             0.00030061,             0.00030061
                      7,                0.97523,                 1.5837,                 1.1273,                0.48297,                 0.5094,                0.48319,                0.36213,                0.99111,                 1.8701,                 1.1525,             0.00029751,             0.00029751,             0.00029751
                      8,                0.93378,                 1.4808,                 1.0988,                0.51129,                0.49541,                0.49198,                0.37851,                0.96594,                 1.7505,                 1.1489,             0.00029441,             0.00029441,             0.00029441
                      9,                 0.9386,                 1.4249,                 1.0983,                0.49519,                0.47042,                0.46301,                0.35965,                0.96703,                 1.8422,                 1.1323,             0.00029131,             0.00029131,             0.00029131
                     10,                0.90122,                 1.3511,                  1.081,                0.49361,                0.50853,                0.50062,                0.38487,                0.97844,                 1.7333,                  1.128,             0.00028821,             0.00028821,             0.00028821
                     11,                0.89823,                 1.3464,                 1.0739,                0.56652,                0.48398,                0.52345,                0.40506,                0.96363,                  1.716,                 1.1324,             0.00028511,             0.00028511,             0.00028511
                     12,                0.87597,                 1.2794,                 1.0654,                0.54445,                0.46146,                0.48148,                0.37101,                0.97994,                 1.8081,                 1.1306,             0.00028201,             0.00028201,             0.00028201
                     13,                0.86312,                 1.2216,                 1.0649,                0.53635,                0.50381,                0.51258,                0.39778,                0.96292,                  1.675,                 1.1397,             0.00027891,             0.00027891,             0.00027891
                     14,                0.85413,                 1.1826,                 1.0543,                0.51771,                0.49593,                0.52181,                0.40429,                0.92906,                 1.6575,                 1.1069,             0.00027582,             0.00027582,             0.00027582
                     15,                0.83275,                 1.1386,                 1.0371,                 0.5336,                0.52574,                0.54639,                0.42466,                0.95606,                 1.5782,                 1.1073,             0.00027272,             0.00027272,             0.00027272
                     16,                0.83931,                 1.1128,                 1.0426,                0.52329,                0.53754,                0.52324,                0.40613,                0.96992,                 1.7119,                 1.1332,             0.00026962,             0.00026962,             0.00026962
                     17,                0.82467,                 1.0632,                 1.0348,                0.49424,                 0.5296,                0.52903,                0.41055,                0.95112,                 1.6659,                 1.1098,             0.00026652,             0.00026652,             0.00026652
                     18,                0.81816,                 1.0324,                 1.0299,                0.53658,                0.51116,                0.52808,                0.41346,                0.95118,                 1.6918,                 1.1231,             0.00026342,             0.00026342,             0.00026342
                     19,                0.80852,                 1.0065,                 1.0267,                0.59528,                0.48424,                0.52288,                0.41021,                 0.9538,                 1.7303,                 1.1263,             0.00026032,             0.00026032,             0.00026032
                     20,                0.79851,                 0.9605,                 1.0166,                0.56921,                0.50657,                 0.5245,                0.40746,                0.94721,                 1.6756,                 1.1116,             0.00025722,             0.00025722,             0.00025722
                     21,                0.79358,                0.94085,                 1.0133,                0.53435,                0.52072,                0.53735,                0.41974,                 0.9331,                 1.6552,                   1.12,             0.00025412,             0.00025412,             0.00025412
                     22,                0.78527,                0.91025,                 1.0199,                0.49643,                0.55766,                0.53729,                0.41924,                0.95412,                 1.6424,                 1.1291,             0.00025103,             0.00025103,             0.00025103
                     23,                 0.7765,                0.88296,                 1.0063,                0.58134,                0.48064,                0.51879,                0.39885,                0.94385,                 1.7614,                 1.1202,             0.00024793,             0.00024793,             0.00024793
                     24,                0.76988,                0.86219,                 1.0053,                0.49827,                0.51244,                0.53303,                 0.4125,                0.94996,                 1.8063,                 1.1134,             0.00024483,             0.00024483,             0.00024483
                     25,                0.75059,                0.83215,                0.99668,                0.54526,                0.51106,                 0.5315,                0.41554,                0.94115,                 1.7758,                 1.1175,             0.00024173,             0.00024173,             0.00024173
                     26,                0.75507,                0.82786,                0.99617,                0.51726,                0.54119,                0.52266,                0.40343,                 0.9846,                 1.8379,                 1.1563,             0.00023863,             0.00023863,             0.00023863
                     27,                0.73829,                0.78345,                0.98504,                0.51264,                0.51872,                0.51432,                0.39559,                0.98486,                 1.8314,                 1.1415,             0.00023553,             0.00023553,             0.00023553
                     28,                 0.7382,                0.77246,                0.98904,                0.51987,                0.49045,                0.49998,                0.38956,                0.97088,                 1.8711,                 1.1327,             0.00023243,             0.00023243,             0.00023243
                     29,                0.71961,                0.75152,                0.97924,                0.51742,                0.53311,                0.52726,                0.41097,                0.97278,                 1.8786,                 1.1403,             0.00022934,             0.00022934,             0.00022934
                     30,                0.72039,                0.73334,                0.97775,                0.53872,                0.50997,                0.52943,                0.41475,                0.94718,                 1.7755,                 1.1211,             0.00022624,             0.00022624,             0.00022624
                     31,                0.71967,                0.73748,                0.97762,                0.56276,                0.49572,                 0.5219,                0.40887,                0.95745,                 1.8114,                 1.1264,             0.00022314,             0.00022314,             0.00022314
                     32,                0.71194,                0.70856,                0.96996,                0.56229,                0.47296,                0.53228,                0.41728,                0.94207,                 1.8719,                 1.1178,             0.00022004,             0.00022004,             0.00022004
                     33,                0.70114,                0.68006,                0.96848,                 0.5667,                0.51141,                0.54002,                0.42877,                0.91492,                   1.82,                 1.1118,             0.00021694,             0.00021694,             0.00021694
                     34,                0.70056,                0.67524,                0.97255,                0.57871,                0.49598,                0.52297,                0.41355,                 0.9506,                 1.8732,                 1.1233,             0.00021384,             0.00021384,             0.00021384
                     35,                0.68506,                 0.6641,                0.96375,                0.56047,                0.50325,                0.53243,                0.42019,                0.93588,                 1.8766,                 1.1111,             0.00021074,             0.00021074,             0.00021074
                     36,                0.67568,                0.64023,                 0.9555,                0.55695,                0.51325,                0.53585,                0.42744,                0.93376,                 1.8023,                 1.1244,             0.00020764,             0.00020764,             0.00020764
                     37,                0.67641,                0.63504,                0.95619,                0.54382,                0.53309,                 0.5306,                0.42122,                0.93353,                 1.8615,                 1.1199,             0.00020455,             0.00020455,             0.00020455
                     38,                0.66745,                0.62581,                0.95982,                 0.5532,                0.49917,                0.52723,                0.41608,                0.95216,                 1.8805,                 1.1265,             0.00020145,             0.00020145,             0.00020145
                     39,                0.66225,                0.60625,                0.94788,                0.53366,                0.53794,                0.53364,                0.42763,                0.92843,                 1.8759,                 1.1145,             0.00019835,             0.00019835,             0.00019835
                     40,                0.65968,                0.59447,                0.95024,                0.57092,                0.52638,                0.53744,                0.42941,                0.91573,                 1.8186,                 1.1039,             0.00019525,             0.00019525,             0.00019525
                     41,                0.65127,                0.58046,                0.94478,                0.52788,                0.55485,                0.53849,                 0.4295,                0.92955,                 1.9289,                 1.1096,             0.00019215,             0.00019215,             0.00019215
                     42,                0.64431,                0.58929,                0.93817,                 0.5838,                0.50675,                0.54543,                0.43185,                 0.9431,                 1.9455,                 1.1245,             0.00018905,             0.00018905,             0.00018905
                     43,                0.63713,                0.57158,                0.93986,                  0.513,                0.52332,                0.51895,                0.41071,                0.94273,                  1.975,                 1.1217,             0.00018595,             0.00018595,             0.00018595
                     44,                0.64076,                0.56317,                0.93856,                0.54954,                0.52584,                0.55396,                0.43617,                 0.9427,                 1.8227,                 1.1321,             0.00018285,             0.00018285,             0.00018285
                     45,                0.63027,                0.55891,                0.94162,                0.54202,                0.52228,                0.54279,                0.43093,                0.93693,                 1.9104,                 1.1281,             0.00017976,             0.00017976,             0.00017976
                     46,                0.61711,                   0.54,                0.93202,                0.57749,                0.48976,                 0.5312,                0.41917,                0.94572,                 1.9962,                 1.1305,             0.00017666,             0.00017666,             0.00017666
                     47,                0.61004,                0.52978,                0.92879,                0.55085,                 0.5156,                 0.5318,                0.41469,                0.96155,                 1.9856,                 1.1304,             0.00017356,             0.00017356,             0.00017356
                     48,                0.61221,                0.53651,                0.92915,                0.54406,                0.51777,                0.53468,                0.42456,                0.93901,                 2.0753,                 1.1249,             0.00017046,             0.00017046,             0.00017046
                     49,                0.60667,                0.52533,                0.92872,                0.55612,                0.51389,                0.52508,                0.41754,                0.94121,                 2.0689,                 1.1292,             0.00016736,             0.00016736,             0.00016736
                     50,                0.60244,                0.51559,                  0.923,                0.53921,                 0.5269,                0.52145,                0.41648,                0.93775,                 1.9877,                 1.1352,             0.00016426,             0.00016426,             0.00016426
                     51,                 0.5982,                0.50961,                0.92044,                0.57829,                0.50206,                0.53225,                0.42225,                 0.9399,                 2.0202,                  1.126,             0.00016116,             0.00016116,             0.00016116
                     52,                0.59543,                0.51072,                0.92113,                0.60162,                0.48157,                0.52559,                 0.4164,                0.96339,                 2.0508,                 1.1469,             0.00015807,             0.00015807,             0.00015807
                     53,                0.59212,                0.50954,                0.92776,                0.61757,                0.46669,                0.52722,                0.41864,                0.94004,                 2.0801,                 1.1285,             0.00015497,             0.00015497,             0.00015497
                     54,                 0.5864,                0.49265,                0.92084,                0.56464,                0.52068,                0.53419,                0.42248,                0.92936,                 2.0264,                 1.1157,             0.00015187,             0.00015187,             0.00015187
                     55,                0.57589,                0.48817,                0.91607,                0.55754,                0.51854,                 0.5372,                 0.4292,                0.93446,                 2.0438,                   1.12,             0.00014877,             0.00014877,             0.00014877
                     56,                0.57521,                0.48615,                 0.9112,                0.49878,                0.52961,                0.53028,                 0.4212,                0.94983,                 2.1692,                 1.1325,             0.00014567,             0.00014567,             0.00014567
                     57,                0.56248,                0.46721,                0.91061,                0.56203,                0.52314,                0.53624,                0.42592,                0.95126,                 2.1702,                  1.127,             0.00014257,             0.00014257,             0.00014257
                     58,                 0.5628,                0.47312,                0.91382,                0.54197,                0.52839,                0.54383,                0.43182,                0.94429,                  2.115,                 1.1299,             0.00013947,             0.00013947,             0.00013947
                     59,                0.55732,                0.45956,                0.90866,                0.55086,                0.53809,                0.54227,                0.42907,                0.93665,                 2.0649,                 1.1236,             0.00013637,             0.00013637,             0.00013637
                     60,                0.55585,                0.45778,                0.90506,                0.54634,                0.52669,                 0.5365,                0.42268,                0.95192,                 2.1424,                   1.13,             0.00013328,             0.00013328,             0.00013328
                     61,                0.54306,                0.44599,                 0.9039,                0.56248,                0.51956,                0.52691,                 0.4191,                0.92937,                 2.1187,                 1.1232,             0.00013018,             0.00013018,             0.00013018
                     62,                0.54394,                0.44988,                0.90281,                0.55657,                0.52742,                0.54705,                0.43912,                0.92108,                 2.0934,                 1.1163,             0.00012708,             0.00012708,             0.00012708
                     63,                 0.5416,                0.45482,                 0.9042,                0.55134,                0.53099,                 0.5353,                0.42527,                0.94836,                 2.1683,                 1.1324,             0.00012398,             0.00012398,             0.00012398
                     64,                0.53034,                0.43474,                 0.9008,                0.55788,                 0.5157,                0.54155,                 0.4325,                0.93166,                 2.0917,                 1.1236,             0.00012088,             0.00012088,             0.00012088
                     65,                0.53019,                0.43458,                0.89866,                0.55638,                0.51443,                0.53177,                0.42245,                0.93208,                 2.1279,                 1.1155,             0.00011778,             0.00011778,             0.00011778
                     66,                0.51796,                0.42111,                0.89076,                0.55707,                0.53837,                 0.5424,                0.43288,                0.92889,                 2.0997,                 1.1198,             0.00011468,             0.00011468,             0.00011468
                     67,                0.52116,                0.43103,                0.90027,                0.57846,                0.49025,                0.53924,                0.43135,                0.94451,                 2.1285,                 1.1326,             0.00011158,             0.00011158,             0.00011158
                     68,                0.51567,                0.41567,                0.89717,                0.53821,                 0.5177,                0.53544,                0.42846,                0.93688,                 2.2247,                  1.125,             0.00010849,             0.00010849,             0.00010849
                     69,                0.51193,                0.42469,                0.89441,                0.57405,                0.52622,                0.53839,                0.43056,                0.92679,                 2.1926,                 1.1191,             0.00010539,             0.00010539,             0.00010539
                     70,                0.50902,                  0.414,                0.89411,                0.56426,                0.52177,                0.53779,                0.43054,                0.92752,                 2.1503,                 1.1131,             0.00010229,             0.00010229,             0.00010229
                     71,                0.49903,                0.40725,                0.89204,                0.61825,                0.49901,                0.54604,                0.43579,                0.92983,                 2.1433,                 1.1149,              9.919e-05,              9.919e-05,              9.919e-05
                     72,                0.50164,                 0.4044,                0.88896,                0.57213,                 0.5122,                0.53581,                0.42933,                0.92967,                 2.2151,                 1.1257,             9.6091e-05,             9.6091e-05,             9.6091e-05
                     73,                0.49062,                0.39745,                0.88659,                0.54156,                 0.5236,                0.53619,                0.42853,                0.93769,                 2.2649,                 1.1299,             9.2992e-05,             9.2992e-05,             9.2992e-05
                     74,                 0.4869,                0.39338,                0.88684,                 0.5383,                0.54001,                0.53613,                0.43147,                0.92674,                 2.1736,                 1.1213,             8.9894e-05,             8.9894e-05,             8.9894e-05
                     75,                0.48893,                0.39558,                0.88493,                0.57727,                0.51055,                0.53311,                0.42843,                0.93513,                 2.1838,                 1.1377,             8.6795e-05,             8.6795e-05,             8.6795e-05
                     76,                0.49017,                0.39653,                 0.8876,                 0.5275,                0.54649,                0.54236,                0.43643,                0.92808,                 2.1799,                 1.1118,             8.3696e-05,             8.3696e-05,             8.3696e-05
                     77,                 0.4742,                0.37755,                0.87826,                0.55452,                 0.5302,                0.55056,                0.43939,                0.92813,                 2.1321,                  1.126,             8.0598e-05,             8.0598e-05,             8.0598e-05
                     78,                 0.4772,                0.38607,                0.88101,                  0.529,                0.52766,                0.53453,                0.42652,                0.93717,                 2.2397,                 1.1273,             7.7499e-05,             7.7499e-05,             7.7499e-05
                     79,                0.46629,                0.36963,                0.87644,                0.55755,                0.53616,                0.55373,                0.44609,                0.92211,                 2.2064,                 1.1203,               7.44e-05,               7.44e-05,               7.44e-05
                     80,                 0.4708,                0.37366,                0.87826,                0.56143,                0.53147,                0.54074,                0.43765,                0.91626,                 2.2004,                 1.1167,             7.1301e-05,             7.1301e-05,             7.1301e-05
                     81,                0.46543,                0.37409,                0.87678,                0.55925,                0.52169,                0.54257,                0.43549,                0.91681,                 2.2467,                  1.113,             6.8203e-05,             6.8203e-05,             6.8203e-05
                     82,                0.46518,                0.37166,                0.88043,                0.59359,                0.49812,                 0.5409,                 0.4359,                0.91142,                 2.1667,                 1.1117,             6.5104e-05,             6.5104e-05,             6.5104e-05
                     83,                0.45713,                0.36986,                0.87646,                0.55564,                0.53617,                0.54287,                0.43418,                0.91673,                 2.2001,                 1.1135,             6.2005e-05,             6.2005e-05,             6.2005e-05
                     84,                0.45031,                0.36381,                0.87196,                0.55741,                0.52244,                0.53589,                0.43044,                0.91531,                  2.233,                 1.1144,             5.8907e-05,             5.8907e-05,             5.8907e-05
                     85,                0.44633,                0.35907,                0.87192,                 0.6142,                0.50805,                0.54299,                0.43624,                0.91166,                 2.2348,                 1.1133,             5.5808e-05,             5.5808e-05,             5.5808e-05
                     86,                0.45028,                0.36298,                0.87405,                 0.5834,                0.52992,                0.54913,                0.44156,                0.91174,                 2.2264,                 1.1142,             5.2709e-05,             5.2709e-05,             5.2709e-05
                     87,                0.43985,                0.34905,                0.86699,                  0.602,                0.53746,                0.55473,                0.44693,                0.90327,                 2.1673,                 1.1112,             4.9611e-05,             4.9611e-05,             4.9611e-05
                     88,                0.43509,                0.34782,                0.86842,                0.57324,                0.54156,                0.55266,                0.44703,                0.90453,                 2.1826,                  1.106,             4.6512e-05,             4.6512e-05,             4.6512e-05
                     89,                0.43694,                0.35307,                0.86815,                0.56615,                0.53433,                0.54823,                0.44389,                0.91094,                 2.2256,                 1.1133,             4.3413e-05,             4.3413e-05,             4.3413e-05
                     90,                0.43273,                 0.3489,                0.86582,                0.55599,                0.53946,                0.55281,                0.44461,                 0.9154,                 2.2122,                 1.1216,             4.0314e-05,             4.0314e-05,             4.0314e-05
                     91,                0.36885,                0.23353,                0.82162,                 0.5732,                0.51983,                0.54008,                0.43553,                0.92228,                 2.2382,                 1.1275,             3.7216e-05,             3.7216e-05,             3.7216e-05
                     92,                 0.3445,                0.21752,                0.81577,                   0.55,                0.54518,                0.54791,                0.44076,                0.92713,                 2.1681,                 1.1327,             3.4117e-05,             3.4117e-05,             3.4117e-05
                     93,                0.33709,                0.20933,                0.81259,                0.56666,                0.52975,                 0.5423,                0.43971,                 0.9174,                 2.2193,                 1.1229,             3.1018e-05,             3.1018e-05,             3.1018e-05
                     94,                0.33192,                0.20732,                0.81373,                0.54454,                0.53708,                0.54086,                0.43863,                 0.9146,                 2.2776,                 1.1191,              2.792e-05,              2.792e-05,              2.792e-05
                     95,                 0.3236,                0.20258,                0.80414,                0.58377,                0.51925,                 0.5489,                0.44423,                0.91869,                 2.2201,                 1.1265,             2.4821e-05,             2.4821e-05,             2.4821e-05
                     96,                0.32244,                0.20504,                0.80737,                0.55235,                0.54219,                0.54461,                0.44122,                0.92049,                 2.2504,                  1.127,             2.1722e-05,             2.1722e-05,             2.1722e-05
                     97,                0.31566,                0.19763,                0.80517,                0.55621,                0.54033,                0.55266,                0.44846,                0.91764,                  2.265,                  1.126,             1.8624e-05,             1.8624e-05,             1.8624e-05
                     98,                0.31129,                0.19585,                 0.8055,                0.57818,                0.52416,                0.55215,                0.44826,                0.91752,                  2.244,                 1.1235,             1.5525e-05,             1.5525e-05,             1.5525e-05
                     99,                0.31271,                0.19572,                0.80188,                0.57658,                0.53013,                0.55125,                0.44747,                 0.9144,                 2.2273,                   1.12,             1.2426e-05,             1.2426e-05,             1.2426e-05
                    100,                0.30986,                0.19699,                0.80849,                0.57909,                0.52773,                0.55323,                0.45086,                  0.912,                 2.2247,                 1.1206,             9.3274e-06,             9.3274e-06,             9.3274e-06
